"url","title","expirestime","lastupdatedtime","visitedtime"
﻿"microsoft-edge:?url=https%3A%2F%2Fwww.google.com.tw%2F&timestamp=1691561373924&source=WindowsSearchBox&campaign=anaheimdata-c&medium=EdgeTopSites&cid=0003BFFD3420AF1F"," ","1693807774","1691561374","1691561374"
﻿"ms-gamingoverlay:///"," ","1693953498","1691707098","1691707098"
﻿"ms-settings:network-ethernet"," ","1693645511","1691399111","1691399111"
﻿"ms-settings:network"," ","1693793972","1691548002","1691548002"
﻿"file:///C:/james/eDetectorWindowsAgent_VS2019/Agent_VS2019/sqlite3.h"," ","1693983106","1691736706","1691736706"
﻿"file:///C:/james/eDetectorWindowsAgent_VS2019/x64/Debug/Obtained_NetworkResources.csv"," ","1693989361","1691743391","1691743391"
﻿"file:///C:/Users/test/Desktop"," ","1692429841","1690183871","1690183871"
﻿"file:///C:/Program%20Files/Git/ReleaseNotes.html"," ","1691999237","1689752837","1689752837"
﻿"file:///C:/Users/test/Downloads/onlinesearch/onlinesearch/OnlineSearch/OnlineSearch.sln"," ","1693818336","1691571936","1691571936"
﻿"file:///C:/james/tmp"," ","1693897362","1691650962","1691650962"
﻿"file:///C:/james/generate_onlinesearch/generate_onlinesearch.sln"," ","1693729841","1691483441","1691483441"
﻿"file:///C:/Users/test/Downloads/onlinesearch/onlinesearch/ClientSearch/ReadMe.txt"," ","1693893608","1691647638","1691647638"
﻿"file:///C:/Users/test/Downloads/onlinesearch/onlinesearch/OnlineSearch.sln"," ","1693893169","1691647199","1691647199"
﻿"file:///C:/Users/test/Desktop/agent/agent.sln"," ","1692430592","1690184192","1690184192"
﻿"file:///C:/james/eDetectorWindowsAgent_VS2019/Agent_VS2019.sln"," ","1693893250","1691646850","1691646850"
﻿"file:///C:/james"," ","1693897363","1691650963","1691650963"
﻿"file:///C:/james/NTFS/NTFSParser.sln"," ","1693896938","1691650538","1691650538"
﻿"file:///C:/msys64/mingw64.ico"," ","1692083264","1689837294","1689837294"
﻿"ms-gamingoverlay://kglcheck/"," ","1693953497","1691707097","1691707097"
﻿"ms-gamingoverlay://kglcheck/"," ","1693953497","1691707097","1691707097"
